id,make,model,description,embedding,daily_price,image_url,rent_link,is_test_result,specs,owner_id,type,crew_id,availability_rules,quantity
vipbike-jy,VipBike,JY,"Электромотоцикл VipBike JY с двигателем 3000 Вт. Максимальная скорость до 150 км/ч. Оригинальный дизайн, хорошая комплектация. Подходит для города и пригорода.",,128000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-jy/image_1.jpg,/rent/vipbike-jy,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike JY"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-jy/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-jy/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-jy/image_3.jpg""], ""battery_options"": {""base_price"": 128000, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 172500, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 183000, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 187000, ""range_km"": ""90-150""}]}, ""tier"": ""mid-range""}",,bike,,{},1
vipbike-xf,VipBike,XF,"Электромотоцикл VipBike XF с двигателем 3000 Вт. Скорость до 150 км/ч. Динамичный дизайн, отличные ходовые качества. Для тех, кто ценит стиль и производительность.",,120800,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-xf/image_1.jpg,/rent/vipbike-xf,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike XF"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-xf/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-xf/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-xf/image_3.jpg""], ""battery_options"": {""base_price"": 120800, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 165300, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 175800, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 179800, ""range_km"": ""90-150""}]}, ""tier"": ""standard""}",,bike,,{},1
vipbike-z1000,VipBike,Z1000,Электромотоцикл VipBike Z1000 с двигателем 3000 Вт. Максимальная скорость до 150 км/ч. Мощный и стремительный дизайн в стиле японских стритфайтеров. Для истинных ценителей мотокультуры.,,128000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-z1000/image_1.jpg,/rent/vipbike-z1000,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike Z1000"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-z1000/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-z1000/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-z1000/image_3.jpg""], ""battery_options"": {""base_price"": 128000, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 172500, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 183000, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 187000, ""range_km"": ""90-150""}]}, ""tier"": ""mid-range""}",,bike,,{},1
vipbike-dn,VipBike,DN,"Спортивный электромотоцикл VipBike DN с двигателем 3000 Вт. Максимальная скорость до 150 км/ч. Агрессивный нейкед-стиль, спортивная посадка. Для любителей активной езды и эффектного внешнего вида.",,148400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dn/image_1.jpg,/rent/vipbike-dn,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Спортивный электромотоцикл VipBike DN"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dn/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dn/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dn/image_3.jpg""], ""battery_options"": {""base_price"": 148400, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 192900, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 203400, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 207400, ""range_km"": ""90-150""}]}, ""tier"": ""sport""}",,bike,,{},1
vipbike-a4,VipBike,A4,"Флагманский высокопроизводительный электромотоцикл VipBike A4 с мощным двигателем 10000 Вт (10 кВт). Максимальная скорость более 150 км/ч. Премиальная комплектация, передовые технологии, исключительная динамика. Вершина линейки VipBike для истинных ценителей скорости и комфорта.",,490000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-a4/image_1.jpg,/rent/vipbike-a4,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 10000, ""power_kw"": 10, ""max_speed_kmh"": ""150+"", ""subtitle"": ""Флагманский электромотоцикл VipBike A4"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-a4/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-a4/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-a4/image_3.jpg""], ""battery_options"": {""base_price"": 490000, ""batteries"": [{""capacity"": ""Included"", ""type"": ""lithium"", ""battery_price"": 0, ""total_price"": 490000, ""range_km"": ""200+""}]}, ""tier"": ""high-performance""}",,bike,,{},1
vipbike-battery-50ah-regular,VipBike,Аккумулятор 50Ah (Regular),Стандартная аккумуляторная батарея емкостью 50Ah для электромотоциклов VipBike. Примерный запас хода: 70-110 км. Подходит для всех моделей серии.,,44500,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/battery_50ah.jpg,,false,"{""type"": ""Battery"", ""capacity"": ""50Ah"", ""battery_type"": ""regular"", ""range_km"": ""70-110"", ""category"": ""battery"", ""compatible_models"": [""G8"", ""G8-2"", ""DMG"", ""DK"", ""R1"", ""R2"", ""R3"", ""R6"", ""RZ"", ""V6"", ""JY"", ""XF"", ""Z1000"", ""DN""]}",,parts,,{},50
vipbike-battery-60ah-regular,VipBike,Аккумулятор 60Ah (Regular),Стандартная аккумуляторная батарея емкостью 60Ah для электромотоциклов VipBike. Примерный запас хода: 80-120 км.,,55000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/battery_60ah.jpg,,false,"{""type"": ""Battery"", ""capacity"": ""60Ah"", ""battery_type"": ""regular"", ""range_km"": ""80-120"", ""category"": ""battery"", ""compatible_models"": [""G8"", ""G8-2"", ""DMG"", ""DK"", ""R1"", ""R2"", ""R3"", ""R6"", ""RZ"", ""V6"", ""JY"", ""XF"", ""Z1000"", ""DN""]}",,parts,,{},50
vipbike-battery-80ah-regular,VipBike,Аккумулятор 80Ah (Regular),Стандартная аккумуляторная батарея емкостью 80Ah для электромотоциклов VipBike. Примерный запас хода: 90-150 км.,,59000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/battery_80ah.jpg,,false,"{""type"": ""Battery"", ""capacity"": ""80Ah"", ""battery_type"": ""regular"", ""range_km"": ""90-150"", ""category"": ""battery"", ""compatible_models"": [""G8"", ""G8-2"", ""DMG"", ""DK"", ""R1"", ""R2"", ""R3"", ""R6"", ""RZ"", ""V6"", ""JY"", ""XF"", ""Z1000"", ""DN""]}",,parts,,{},50
vipbike-battery-50ah-lithium,VipBike,Литиевая батарея 50Ah,"Литиевая аккумуляторная батарея емкостью 50Ah. Легче, долговечнее и надежнее стандартных батарей.",,82000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/battery_li_50ah.jpg,,false,"{""type"": ""Battery"", ""capacity"": ""50Ah"", ""battery_type"": ""lithium"", ""range_km"": ""70-110"", ""category"": ""battery"", ""compatible_models"": [""G8"", ""G8-2"", ""DMG"", ""DK"", ""R1"", ""R2"", ""R3"", ""R6"", ""RZ"", ""V6"", ""JY"", ""XF"", ""Z1000"", ""DN""]}",,parts,,{},30
vipbike-battery-60ah-lithium,VipBike,Литиевая батарея 60Ah,Литиевая аккумуляторная батарея емкостью 60Ah. Оптимальный выбор для ежедневного использования.,,90000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/battery_li_60ah.jpg,,false,"{""type"": ""Battery"", ""capacity"": ""60Ah"", ""battery_type"": ""lithium"", ""range_km"": ""80-120"", ""category"": ""battery"", ""compatible_models"": [""G8"", ""G8-2"", ""DMG"", ""DK"", ""R1"", ""R2"", ""R3"", ""R6"", ""RZ"", ""V6"", ""JY"", ""XF"", ""Z1000"", ""DN""]}",,parts,,{},30
vipbike-battery-80ah-lithium,VipBike,Литиевая батарея 80Ah,Литиевая аккумуляторная батарея емкостью 80Ah. Увеличенная дальность с преимуществами литий-ионной технологии.,,98000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/battery_li_80ah.jpg,,false,"{""type"": ""Battery"", ""capacity"": ""80Ah"", ""battery_type"": ""lithium"", ""range_km"": ""90-150"", ""category"": ""battery"", ""compatible_models"": [""G8"", ""G8-2"", ""DMG"", ""DK"", ""R1"", ""R2"", ""R3"", ""R6"", ""RZ"", ""V6"", ""JY"", ""XF"", ""Z1000"", ""DN""]}",,parts,,{},30
vipbike-front-shock,VipBike,Амортизатор передний,Передний амортизатор для электромотоциклов VipBike. Улучшенная подвеска для комфортной езды.,,38600,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/front_shock.jpg,,false,"{""type"": ""Suspension"", ""position"": ""front"", ""category"": ""suspension""}",,parts,,{},20
vipbike-rear-shock,VipBike,Амортизатор задний,Задний амортизатор для электромотоциклов VipBike. Плавный ход и отличная управляемость.,,16500,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/rear_shock.jpg,,false,"{""type"": ""Suspension"", ""position"": ""rear"", ""category"": ""suspension""}",,parts,,{},20
vipbike-rear-tire,VipBike,Задняя шина,Задняя шина для электромотоциклов VipBike. Отличное сцепление с дорогой.,,4200,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/rear_tire.jpg,,false,"{""type"": ""Tire"", ""position"": ""rear"", ""category"": ""wheels""}",,parts,,{},30
vipbike-brembo-brakes,VipBike,Тормоза Brembo,Премиальные тормоза Brembo для электромотоциклов. Исключительная тормозная мощность.,,12400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/brembo_brakes.jpg,,false,"{""type"": ""Brakes"", ""brand"": ""Brembo"", ""category"": ""brakes""}",,parts,,{},25
vipbike-helmet-e4,VipBike,Шлем E4 (Tensun),Мотоциклетный шлем E4 от Tensun. Надежная защита и комфорт.,,8300,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/helmet_e4.jpg,,false,"{""type"": ""Helmet"", ""brand"": ""Tensun"", ""model"": ""E4"", ""category"": ""accessories""}",,parts,,{},40
vipbike-tft-display,VipBike,TFT дисплей,TFT дисплей с поддержкой мобильного телефона. Современный интерфейс и навигация.,,8300,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/tft_display.jpg,,false,"{""type"": ""Display"", ""technology"": ""TFT"", ""category"": ""electronics""}",,parts,,{},30
vipbike-motorcycle-helmet,VipBike,Мотошлем,Качественный мотошлем для безопасной езды.,,4200,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/helmet.jpg,,false,"{""type"": ""Helmet"", ""category"": ""accessories""}",,parts,,{},50
vipbike-bluetooth-alarm,VipBike,Противоугонная Bluetooth,Противоугонная система с Bluetooth. Защита и отслеживание мотоцикла.,,5600,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/bluetooth_alarm.jpg,,false,"{""type"": ""Security"", ""technology"": ""Bluetooth"", ""category"": ""electronics""}",,parts,,{},35
vipbike-cnc-footpegs,VipBike,CNC подножки,CNC передние и задние подножки. Стильный дизайн и надежность.,,9700,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/cnc_footpegs.jpg,,false,"{""type"": ""Footpegs"", ""material"": ""CNC Aluminum"", ""category"": ""accessories""}",,parts,,{},25
vipbike-abs-system,VipBike,ABS система,Система ABS для безопасного торможения. Предотвращает блокировку колес.,,16700,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/abs_system.jpg,,false,"{""type"": ""Safety"", ""system"": ""ABS"", ""category"": ""brakes""}",,parts,,{},20
vipbike-cbs-system,VipBike,Система CBS,Combi Brake System для сбалансированного торможения.,,4200,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/cbs_system.jpg,,false,"{""type"": ""Safety"", ""system"": ""CBS"", ""category"": ""brakes""}",,parts,,{},25
vipbike-motor-10000w,VipBike,Мотор 10000W,Мощный электромотор 10000W. Скорость до 140-160 км/ч.,,167000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/motor_10000w.jpg,,false,"{""type"": ""Motor"", ""power_w"": 10000, ""max_speed_kmh"": ""140-160"", ""category"": ""motor""}",,parts,,{},10
vipbike-motor-8000w,VipBike,Мотор 8000W,Электромотор 8000W. Скорость до 160-180 км/ч.,,90000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/motor_8000w.jpg,,false,"{""type"": ""Motor"", ""power_w"": 8000, ""max_speed_kmh"": ""160-180"", ""category"": ""motor""}",,parts,,{},10
vipbike-motor-5000w,VipBike,Мотор 5000W,Электромотор 5000W. Скорость до 120-140 км/ч.,,79000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/parts/motor_5000w.jpg,,false,"{""type"": ""Motor"", ""power_w"": 5000, ""max_speed_kmh"": ""120-140"", ""category"": ""motor""}",,parts,,{},15
